Kids,,,,,,,,,,,,,,,,Salario Mensual,Salario Quincenal,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,Costo Anual,Costo Mensual,Comentarios,Cuenta Cargo ,Cuenta deposito,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Renta,"$37,500.00","$18,750.00",FALSE,,"$37,500.00",,HSBC ,HSBC Flexible,,,,,,,,,,,,,,,
Supermercado y comida,"$18,000.00","$9,000.00",FALSE,,"$18,000.00",,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Limpieza  Alicia ,"$3,600.00","$1,800.00",FALSE,,"$3,600.00","450, contando 8  limpiezas al mes",HSBC ,HSBC ,,,,,,,,,,,,,,,
Limpieza Sra Dalia,"$2,000.00","$1,000.00",FALSE,,"$2,000.00",4 jueves por mes,HSBC ,HSBC ,,,,,,,,,,,,,,,
Cuota Admin. Sta Anita,"$1,800.00",$900.00,FALSE,,"$1,800.00",,HSBC ,HSBC Flexible,,,,,,,,,,,,,,,
Gas,"$1,000.00",$500.00,FALSE,,"$1,000.00",Recargando 2000 cada 2 meses,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Electricidad,$800.00,$400.00,FALSE,,$750.00,Asumiendo un gasto de 1500 al bimestre,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Agua,$400.00,$200.00,FALSE,,$310.00,450 Bartolache + 120 Santa Anita,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Basura (Sr. Polo),$300.00,$150.00,FALSE,,$280.00,,HSBC ,HSBC ,,,,,,,,,,,,,,,
Predial Sta Anita,$100.00,$50.00,TRUE,"$1,000.00",$83.33,,2Now Hogar,Stori Inversion +,,,,,,,,,,,,,,,
ISR Renta Departamento,$200.00,$100.00,FALSE,,$110.00,,HSBC ,HSBC ,,,,,,,,,,,,,,,
Hipoteca,$0.00,$0.00,FALSE,,,,HSBC ,HSBC ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$65,700.00","$32,850.00",,,"$65,433.33",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Miscelaneos,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Libre,"$5,800.00","$2,900.00",FALSE,,"$5,750.00",,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
Efectivo,"$3,000.00","$1,500.00",FALSE,,"$3,000.00",,HSBC ,HSBC ,,,,,,,,,,,,,,,
Dalia mensualidad ,"$2,300.00","$1,150.00",FALSE,,"$2,300.00",,Nu Dalia Debito,Nu Dalia Debito,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$11,100.00","$5,550.00",,,"$11,050.00",,,,,,,,,,,,,,,,,,
